ring_number,tag_id,datetime,location_name,latitude,longitude,observation_type,device_status,observer,catching_method,life_stage,sex,condition,mass,wing_length,additional_metric,observation_comments
E46116,,2015-12-25T05:00:00Z,"Mogalakwena (Artist Retreat), Limpopo, South Africa",-22.74683686,28.78147719,capture,,Low De Vries,B,2,U,alive,58,117,,
E46118,,2016-11-27T06:15:00Z,"Mogalakwena (Weir 2), Limpopo, South Africa",-22.72362935,28.77157195,capture,,Dayo Osinubi,B,2,U,alive,64,115,,
E46118,16LO,2017-01-04T05:38:00Z,"Mogalakwena (Wedding Venue), Limpopo, South Africa",-22.72003858,28.76857325,equipment,present,David Green,N,2,U,alive,63,112,,Deployed Geolocator 16 LO | color_ring: Orange-R
E46118,16LO,2017-12-26T03:42:00Z,"Mogalakwena (Weir 2), Limpopo, South Africa",-22.718785,28.7684191,retrieval,present,Dayo Osinubi,M,2,U,alive,70,113,,Retrieved Geolocator 16LO. Deployed Geolocator 20ID. Plastic ring changed from ORANGE - RIGHT to RED/BLUE - RIGHT. | color_ring: Red/Blue-R
E46119,,2016-11-27T08:59:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.72551962,28.77491285,capture,,Dayo Osinubi,B,2,U,alive,62,112,,color_ring: Blue-R
E46119,,2016-12-14T10:28:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.72601854,28.77539376,capture,,David Green,M,2,U,alive,64,114,,color_ring: Blue-R
E46121,,2016-12-01T07:57:00Z,"Mogalakwena (Pump House), Limpopo, South Africa",-22.73604563,28.77717569,capture,,Paige Potter,B,2,U,alive,62,111,,color_ring: Black-R
E46122,,2016-12-02T06:38:00Z,"Mogalakwena (Artist Retreat), Limpopo, South Africa",-22.7470611,28.78152474,capture,,Paige Potter,B,2,U,alive,65,114,,color_ring: Orange-R
E46122,,2018-12-29T07:09:00Z,"Mogalakwena (Artist Retreat), Limpopo, South Africa",-22.747294,28.7812456,capture,,Dayo Osinubi,M,2,U,alive,60.5,114,,color_ring: Blue/Black-R
E46123,,2016-12-12T14:51:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.73014011,28.78123025,capture,,David Green,M,2,U,alive,71,115,,color_ring: Black-L
E46125,,2016-12-15T06:28:00Z,"Mogalakwena (Grey-headed Kingfisher Site), Limpopo, South Africa",-22.72297058,28.77088765,capture,,David Green,M,2,U,alive,62,114,,color_ring: White-L
E46126,16LN,2017-01-05T07:16:00Z,"Mogalakwena (Poachers' Corner), Limpopo, South Africa",-22.72463163,28.77132017,equipment,present,Dayo Osinubi,N,2,U,alive,83,113,,Deployed Geolocator 16 LN | color_ring: Blue-R
E46126,16LN,2019-01-22T07:53:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7254083,28.7749111,retrieval,present,Dayo Osinubi,M,2,U,alive,65,115,,Retrieved Geolocator 16LN. Deployed Geolocator 22NO. | color_ring: Blue-R
E46126,22NO,2019-01-22T07:53:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7254083,28.7749111,equipment,present,Dayo Osinubi,M,2,U,alive,65,115,,Retrieved Geolocator 16LN. Deployed Geolocator 22NO. | color_ring: Blue-R
E46129,,2017-12-06T05:59:00Z,"Venetia (Mopane Camp), Limpopo, South Africa",-22.3977376,29.2672357,capture,,Dayo Osinubi,M,2,U,alive,55,106,,color_ring: Red/Blue-R
