date,mean_2m_air_temperature,total_precipitation
1979-06-27,287.8321533,0
1979-06-28,288.7582397,0
1979-06-29,287.9395447,0
1979-06-30,288.0898743,0
1979-07-01,288.5933533,1.86E-09
1979-07-02,288.4476929,4.16E-04
1979-07-03,287.189209,5.02E-04
1979-07-04,286.0036316,1.86E-09
1979-07-05,284.4436035,4.10E-08
1979-07-06,285.9086914,0
1979-07-07,286.9571533,0
1979-07-08,287.9006348,6.67E-05
1979-07-09,286.9223633,0.001622854
1979-07-10,287.4151917,1.41E-04
1979-07-11,287.8776855,1.83E-06
1979-07-12,286.5482178,8.29E-06
1979-07-13,286.869751,0
1979-07-14,288.0396423,0
1979-07-15,288.1298218,0
1979-07-16,288.473053,0
1979-07-17,289.2179871,0
1979-07-18,289.7592163,0
1979-07-19,291.4829102,0
1979-07-20,293.6468811,3.50E-04
1979-07-21,289.8597107,2.00E-04
1979-07-22,286.7162476,0
1979-07-23,288.0307922,0
1979-07-24,286.665802,0
1979-07-25,283.6720276,0
1979-07-26,283.803833,0
1979-07-27,286.0765381,4.10E-08
1979-07-28,288.2695007,0
1979-07-29,289.0839233,2.49E-05
1979-07-30,288.1761169,1.32E-05
1979-07-31,287.9898376,0
1979-08-01,288.1245422,0
1979-08-02,288.8667297,1.86E-09
1979-08-03,289.7784424,4.38E-08
1979-08-04,289.7894287,1.96E-08
1979-08-05,291.447113,0
1979-08-06,291.6038513,0
1979-08-07,291.6052551,0
1979-08-08,292.6124268,1.86E-09
1979-08-09,290.637207,4.28E-08
1979-08-10,290.4923401,6.82E-06
1979-08-11,289.0016785,1.90E-06
1979-08-12,290.5683899,0
1979-08-13,290.381073,3.80E-04
1979-08-14,290.1266174,7.10E-06
1979-08-15,290.2051697,4.25E-04
1979-08-16,289.5376282,0
1979-08-17,290.9850464,0
1979-08-18,291.2601624,4.39E-06
1979-08-19,291.1803894,3.05E-05
1979-08-20,291.7765808,0.001817602
1979-08-21,293.7011414,1.99E-05
1979-08-22,294.1523438,0
1979-08-23,293.07901,5.59E-04
1979-08-24,294.2244873,5.38E-05
1979-08-25,294.08078,5.59E-04
1979-08-26,294.691803,0.002008199
1979-08-27,293.789917,0.005222503
1979-08-28,295.2486877,2.11E-04
1979-08-29,297.0082092,3.99E-06
1979-08-30,297.2811279,6.44E-05
